player_id,player_name,team,games,fumbles,fumbles_lost,forced_fumbles,own_fumbles_recoveries,opponent_fumbles_recoveries,touchdowns
kenneth-walker-iii,Kenneth Walker III,Seattle Seahawks,11,1,0,0,2,,
jerome-ford,Jerome Ford,Cleveland Browns,14,,,,,,
travis-etienne,Travis Etienne,Jacksonville Jaguars,15,1,1,0,1,,
antonio-gibson-2,Antonio Gibson,New England Patriots,17,2,0,0,2,,
javonte-williams,Javonte Williams,Denver Broncos,17,2,2,0,,,
jaylen-warren,Jaylen Warren,Pittsburgh Steelers,15,2,1,,3,,
emanuel-wilson,Emanuel Wilson,Green Bay Packers,17,0,0,,1,,
jaleel-mclaughlin,Jaleel McLaughlin,Denver Broncos,16,1,1,0,,,
cam-akers,Cam Akers,Minnesota Vikings,12,,,,,,
cam-akers,Cam Akers,Houston Texans,5,1,1,0,,,
devin-singletary,Devin Singletary,New York Giants,15,2,2,0,,,
isaac-guerendo,Isaac Guerendo,San Francisco 49ers,16,3,1,0,,,
alexander-mattison,Alexander Mattison,Las Vegas Raiders,14,1,1,0,,,
austin-ekeler,Austin Ekeler,Washington Commanders,12,3,0,,,,
gus-edwards,Gus Edwards,Los Angeles Chargers,11,0,0,,1,,
nick-chubb,Nick Chubb,Cleveland Browns,8,1,1,0,,,
tyjae-spears,Tyjae Spears,Tennessee Titans,12,1,0,0,,,
ameer-abdullah,Ameer Abdullah,Las Vegas Raiders,16,2,1,0,1,,
audric-estime,Audric Estimé,Denver Broncos,13,2,1,,,,
isiah-pacheco,Isiah Pacheco,Kansas City Chiefs,7,,,,,,
sean-tucker,Sean Tucker,Tampa Bay Buccaneers,17,1,0,0,,,
dameon-pierce,Dameon Pierce,Houston Texans,11,1,0,0,1,,
trey-benson,Trey Benson,Arizona Cardinals,13,1,0,0,,,
kenneth-gainwell,Kenneth Gainwell,Philadelphia Eagles,17,,,0,,,
raheem-mostert,Raheem Mostert,Miami Dolphins,13,2,2,,,,
jeremy-mcnichols,Jeremy McNichols,Washington Commanders,17,0,0,0,2,,
jaylen-wright,Jaylen Wright,Miami Dolphins,15,1,1,,,,
zack-moss,Zack Moss,Cincinnati Bengals,8,2,1,0,1,,
d-onta-foreman,D'Onta Foreman,Cleveland Browns,11,2,1,,1,,
justice-hill,Justice Hill,Baltimore Ravens,15,,,0,,,
ezekiel-elliott,Ezekiel Elliott,Dallas Cowboys,15,1,1,0,1,,
ezekiel-elliott,Ezekiel Elliott,Dallas Cowboys,15,1,1,0,1,,
emari-demercado,Emari Demercado,Arizona Cardinals,13,0,0,,1,,
ty-johnson-x3152,Ty Johnson,Buffalo Bills,17,0,0,0,1,,
miles-sanders,Miles Sanders,Carolina Panthers,11,1,0,0,,,
christian-mccaffrey,Christian McCaffrey,San Francisco 49ers,4,1,1,,,,
carson-steele,Carson Steele,Kansas City Chiefs,17,3,2,0,,,
patrick-taylor,Patrick Taylor,San Francisco 49ers,13,0,0,0,1,,
zamir-white,Zamir White,Las Vegas Raiders,8,2,2,,,,
chris-rodriguez-jr,Chris Rodriguez Jr.,Washington Commanders,9,,,0,,,
jamaal-williams,Jamaal Williams,New Orleans Saints,14,,,0,,,
jayden-reed,Jayden Reed,Green Bay Packers,17,3,1,,1,,
kimani-vidal,Kimani Vidal,Los Angeles Chargers,10,1,0,,1,,
roschon-johnson,Roschon Johnson,Chicago Bears,14,,,0,,,
d-ernest-johnson,D'Ernest Johnson,Jacksonville Jaguars,14,0,0,0,1,,
craig-reynolds,Craig Reynolds,Detroit Lions,17,1,0,0,1,,
cordarrelle-patterson,Cordarrelle Patterson,Pittsburgh Steelers,13,1,1,,,,
michael-carter-3,Michael Carter,Arizona Cardinals,3,,,,,,
khalil-herbert,Khalil Herbert,Cincinnati Bengals,8,1,0,,3,,
khalil-herbert,Khalil Herbert,Chicago Bears,6,,,0,,,
dare-ogunbowale,Dare Ogunbowale,Houston Texans,17,,,1,,,
pierre-strong,Pierre Strong,Cleveland Browns,14,,,0,,,
xavier-worthy,Xavier Worthy,Kansas City Chiefs,17,0,0,0,1,,
julius-chestnut,Julius Chestnut,Tennessee Titans,17,0,0,0,,1,0
samaje-perine,Samaje Perine,Kansas City Chiefs,17,0,0,0,1,1,0
kavontae-turpin,KaVontae Turpin,Dallas Cowboys,17,3,1,0,1,,
hassan-haskins,Hassan Haskins,Los Angeles Chargers,17,1,1,0,,,
tyler-badie,Tyler Badie,Denver Broncos,3,1,1,,,,
raheem-blackshear,Raheem Blackshear,Carolina Panthers,16,2,0,0,2,,
ray-ray-mccloud,Ray-Ray McCloud,Atlanta Falcons,17,4,2,0,1,,
ceedee-lamb,CeeDee Lamb,Dallas Cowboys,15,1,1,0,,,
jamycal-hasty,JaMycal Hasty,New England Patriots,15,,,,,,
sterling-shepard,Sterling Shepard,Tampa Bay Buccaneers,14,,,,,,
mecole-hardman,Mecole Hardman,Kansas City Chiefs,12,,,,,,
jameson-williams,Jameson Williams,Detroit Lions,15,,,0,,,
jeff-wilson,Jeff Wilson,Miami Dolphins,9,0,0,,1,,
calvin-ridley,Calvin Ridley,Tennessee Titans,17,1,1,0,1,,
bo-melton,Bo Melton,Green Bay Packers,17,0,0,0,1,1,0
tyreek-hill,Tyreek Hill,Miami Dolphins,17,,,0,,,
mike-boone,Mike Boone,Carolina Panthers,6,,,,,,
deejay-dallas,DeeJay Dallas,Arizona Cardinals,17,1,0,0,,,
clyde-edwards-helaire,Clyde Edwards-Helaire,New Orleans Saints,2,,,,,,
puka-nacua,Puka Nacua,Los Angeles Rams,11,,,0,,,
ashton-dulin,Ashton Dulin,Indianapolis Colts,15,,,0,,,
j-j-taylor,J.J. Taylor,Houston Texans,5,,,,,,
tank-dell,Tank Dell,Houston Texans,14,,,0,,,
marvin-mims-jr,Marvin Mims Jr.,Denver Broncos,17,1,0,0,1,,
derius-davis,Derius Davis,Los Angeles Chargers,15,3,0,,3,,
dj-turner,DJ Turner,Las Vegas Raiders,12,1,0,0,,,
ja-marr-chase,Ja'Marr Chase,Cincinnati Bengals,17,,,0,,,
greg-dortch,Greg Dortch,Arizona Cardinals,17,3,1,,,,
eric-gray,Eric Gray,New York Giants,17,3,2,,,,
rashid-shaheed,Rashid Shaheed,New Orleans Saints,6,1,1,0,,,
malachi-corley,Malachi Corley,New York Jets,9,1,1,0,,,
kyle-juszczyk,Kyle Juszczyk,San Francisco 49ers,17,1,1,,,,
malik-washington,Malik Washington,Miami Dolphins,14,1,1,0,,,
travis-homer,Travis Homer,Chicago Bears,10,,,0,,,
christian-watson,Christian Watson,Green Bay Packers,15,1,1,0,,,
ashtyn-davis,Ashtyn Davis,New York Jets,15,,,0,,,
jordan-addison,Jordan Addison,Minnesota Vikings,15,,,0,,,
dalvin-cook,Dalvin Cook,Dallas Cowboys,2,,,,,,
wan-dale-robinson,Wan'Dale Robinson,New York Giants,17,,,,,,
alec-ingold-x8122,Alec Ingold,Miami Dolphins,15,2,1,0,1,,
chigoziem-okonkwo,Chig Okonkwo,Tennessee Titans,17,2,1,0,,,
darius-slayton,Darius Slayton,New York Giants,16,1,0,,,,
demario-douglas,Demario Douglas,New England Patriots,17,1,0,0,,,
rome-odunze,Rome Odunze,Chicago Bears,17,2,1,0,,,
curtis-samuel,Curtis Samuel,Buffalo Bills,14,,,0,,,
josh-downs,Josh Downs,Indianapolis Colts,14,0,0,0,1,,
jaylen-waddle,Jaylen Waddle,Miami Dolphins,15,,,0,,,
jordan-whittington,Jordan Whittington,Los Angeles Rams,15,0,0,0,,1,0
velus-jones,Velus Jones Jr.,Carolina Panthers,2,,,,,,
velus-jones,Velus Jones Jr.,Chicago Bears,1,1,1,,,,
dane-belton,Dane Belton,New York Giants,17,0,0,1,1,,
c-j-ham,C.J. Ham,Minnesota Vikings,17,1,1,0,,1,0
cooper-kupp,Cooper Kupp,Los Angeles Rams,12,1,0,,1,,
kevin-austin-jr,Kevin Austin Jr.,New Orleans Saints,8,1,0,0,,,
olamide-zaccheaus-x1231,Olamide Zaccheaus,Washington Commanders,17,3,1,,2,,
jacob-cowing,Jacob Cowing,San Francisco 49ers,15,2,1,0,,,
reggie-gilliam,Reggie Gilliam,Buffalo Bills,15,,,0,,,
chris-olave,Chris Olave,New Orleans Saints,8,1,1,0,,,
deven-thompkins,Deven Thompkins,Carolina Panthers,7,,,,,,
michael-wilson,Michael Wilson,Arizona Cardinals,16,1,1,0,,1,0
diontae-johnson,Diontae Johnson,Houston Texans,1,,,,,,
diontae-johnson,Diontae Johnson,Baltimore Ravens,4,,,,,,
diontae-johnson,Diontae Johnson,Carolina Panthers,7,,,0,,,
tucker-kraft,Tucker Kraft,Green Bay Packers,17,1,1,0,,,
mark-andrews,Mark Andrews,Baltimore Ravens,17,,,,,,
xavier-gipson,Xavier Gipson,New York Jets,17,4,1,,,,
marcus-jones-2,Marcus Jones,New England Patriots,14,2,0,0,1,1,0
jonathan-mingo,Jonathan Mingo,Dallas Cowboys,8,,,,,,
jonathan-mingo,Jonathan Mingo,Carolina Panthers,9,1,1,0,,,
jarrett-stidham,Jarrett Stidham,Denver Broncos,4,,,,,,
garrett-wilson,Garrett Wilson,New York Jets,17,2,2,0,,,
khalil-shakir,Khalil Shakir,Buffalo Bills,15,1,0,,1,,
marquez-valdes-scantling,Marquez Valdes-Scantling,New Orleans Saints,8,0,0,0,1,,
marquez-valdes-scantling,Marquez Valdes-Scantling,Buffalo Bills,6,,,,,,
ke-shawn-vaughn,Ke'Shawn Vaughn,San Francisco 49ers,3,,,,,,
devin-duvernay,Devin Duvernay,Jacksonville Jaguars,13,1,0,0,1,,
chris-godwin,Chris Godwin,Tampa Bay Buccaneers,7,1,0,0,,,
joshua-kelley,Joshua Kelley,Tennessee Titans,3,,,,,,
julian-love,Julian Love,Seattle Seahawks,17,0,0,2,,1,0
trey-mcbride,Trey McBride,Arizona Cardinals,16,0,0,,2,,
terry-mclaurin,Terry McLaurin,Washington Commanders,17,1,1,0,1,,
treylon-burks,Treylon Burks,Tennessee Titans,5,,,0,,,
